slug,name,club,league,tier,pos,ireland_level
luke-kehir,Luke Kehir,St. Patrick's Athletic,League of Ireland,loi,MID,
luke-mulligan,Luke Mulligan,Dundalk,League of Ireland,loi,DEF,
luke-oregan,Luke O'Regan,Shamrock Rovers,League of Ireland,loi,MID,
luke-turner,Luke Turner,St. Patrick's Athletic,League of Ireland,loi,DEF,
macdarragh-scanlon,MacDarragh Scanlon,Galway United FC,League of Ireland,loi,GK,
mark-connolly,Mark Connolly,Derry City,League of Ireland,loi,,
mark-doyle,Mark Doyle,Drogheda United,League of Ireland,loi,FWD,
mark-mcguinness,Mark McGuinness,Sheffield United,,abroad-lower,DEF,Senior
mark-sykes,Mark Sykes,Bristol City,,abroad-lower,MID,Senior
mark-travers,Mark Travers,Bournemouth,,abroad-lower,GK,Senior
mason-melia,Mason Melia,AZ Alkmaar,,abroad-lower,FWD,Senior
mason-murphy,Mason Murphy,Waterford FC,League of Ireland,loi,MID,
matt-doherty,Matt Doherty,Wolverhampton Wanderers,,abroad-lower,DEF,Senior
matthew-healy,Matthew Healy,Shamrock Rovers,League of Ireland,loi,MID,
matthew-ohara,Matthew O'Hara,St. Patrick's Athletic,League of Ireland,loi,FWD,
max-ferguson,Max Ferguson,Dundalk,League of Ireland,loi,FWD,
max-kovalevskis,Max Kovalevskis,Shamrock Rovers,League of Ireland,loi,MID,
max-oleary,Max O'Leary,Bristol City,,abroad-lower,GK,Senior
maxim-afonin,Maxim Afonin,Shamrock Rovers,League of Ireland,loi,DEF,U17
mayowa-animasahun,Mayowa Animasahun,Dundalk,League of Ireland,loi,DEF,
michael-mccolgan,Michael McColgan,Derry City,League of Ireland,loi,DEF,
michael-noonan,Michael Noonan,Shamrock Rovers,League of Ireland,loi,FWD,U21
mikey-johnston,Mikey Johnston,West Bromwich Albion,,abroad-lower,MID,Senior
millenic-alli,Millenic Alli,St Mirren,,abroad-lower,FWD,Senior
muhammad-oladiti,Muhammad Oladiti,Waterford,League of Ireland,loi,MID,U19
naj-razi,Naj Razi,Shamrock Rovers,League of Ireland,loi,MID,U21
nathan-collins,Nathan Collins,Brentford,,abroad-lower,DEF,Senior
niall-morahan,Niall Morahan,Bohemians,League of Ireland,loi,MID,U19
niall-sullivan,Niall Sullivan,St. Patrick's Athletic,League of Ireland,loi,MID,
noah-jauny,Noah Jauny,Stade Brestois,,abroad-lower,GK,U21
noah-obrien,Noah O'Brien,Waterford FC,League of Ireland,loi,DEF,
odhran-casey,Odhrán Casey,Shelbourne,League of Ireland,loi,DEF,
oisin-gallagher,Oisín Gallagher,Lincoln City,,abroad-lower,MID,U21
oisin-kelly,Oisin Kelly,Sligo Rovers,League of Ireland,loi,MID,
