slug,date,tag,headline,standfirst,body,author,image,player_slug,expires,use_player_photo,partner,partner_url,weight
report-2026-09-01-tranmere-rovers-v-rotherham-united,2026-09-01,,Jacob Slater shines as Tranmere Rovers draw 2-2 with Rotherham United,"League Two: Jacob Slater (1 assist, rated 7.6).","Tranmere Rovers draw with Rotherham United 2-2 in the League Two on Tuesday 01 September.

## The Irish on the pitch
- [Jacob Slater](/player/jacob-slater.html) set up 1, played 90 minutes, finished on a 7.6 match rating. That leaves the season at 0 goals and 1 assist in 3 appearances.",Jack Deane,,jacob-slater,2026-09-04T00:00,yes,,,42
report-2026-08-30-derry-city-v-shamrock-rovers,2026-08-30,,Michael Duffy and Graham Burke score as Derry City draw 3-3 with Shamrock Rovers,"Premier Division: Michael Duffy (1 goal, 2 assists, rated 9.4); Graham Burke (1 goal, 1 assist, rated 8.6); Michael Noonan (1 goal, rated 7.2); Dylan Watts (1 goal, rated 7.1); Will Fitzgerald (2 assists, rated 8.0); William Fitzgerald (2 assists, rated 8.0); Darragh Burns (1 assist, rated 7.9); Tunmise Sobowale (rated 7.8).","Derry City draw with Shamrock Rovers 3-3 in the Premier Division on Sunday 30 August.

## The Irish on the pitch
- [Michael Duffy](/player/michael-duffy.html) scored 1, set up 2, played 90 minutes, finished on a 9.4 match rating. That leaves the season at 9 goals and 6 assists in 22 appearances.
- [Graham Burke](/player/graham-burke.html) scored 1, set up 1, played 90 minutes, finished on a 8.6 match rating. That leaves the season at 8 goals and 1 assist in 23 appearances.
- [Michael Noonan](/player/michael-noonan.html) scored 1, played 90 minutes, finished on a 7.2 match rating. That leaves the season at 7 goals and 0 assists in 26 appearances.
- [Dylan Watts](/player/dylan-watts.html) scored 1, played 12 minutes, finished on a 7.1 match rating. That leaves the season at 5 goals and 4 assists in 19 appearances.
- [Will Fitzgerald](/player/will-fitzgerald.html) set up 2, played 21 minutes, finished on a 8.0 match rating. That leaves the season at 5 goals and 3 assists in 25 appearances.
- [William Fitzgerald](/player/william-fitzgerald.html) set up 2, played 21 minutes, finished on a 8.0 match rating. That leaves the season at 5 goals and 3 assists in 25 appearances.
- [Darragh Burns](/player/darragh-burns.html) set up 1, played 79 minutes, finished on a 7.9 match rating. That leaves the season at 0 goals and 5 assists in 21 appearances.
- [Tunmise Sobowale](/player/tunmise-sobowale.html) played 90 minutes, finished on a 7.8 match rating. That leaves the season at 1 goal and 3 assists in 26 appearances.",Jack Deane,,michael-duffy,2026-09-02T00:00,yes,,,303
report-2026-08-30-brentford-v-leeds-united,2026-08-30,,Nathan Collins shines as Brentford draw 1-1 with Leeds United,Premier League: Nathan Collins (rated 7.7).,"Brentford draw with Leeds United 1-1 in the Premier League on Sunday 30 August.

## The Irish on the pitch
- [Nathan Collins](/player/nathan-collins.html) played 90 minutes, finished on a 7.7 match rating. That leaves the season at 0 goals and 0 assists in 2 appearances.",Jack Deane,,nathan-collins,2026-09-02T00:00,yes,,,142
report-2026-08-30-magdeburg-v-holstein-kiel,2026-08-30,,Anselmo García MacNulty shines as Magdeburg beat Holstein Kiel 2-0,2. Bundesliga: Anselmo García MacNulty (rated 7.6).,"Magdeburg beat Holstein Kiel 2-0 in the 2. Bundesliga on Sunday 30 August.

## The Irish on the pitch
- [Anselmo García MacNulty](/player/anselmo-garcia-macnulty.html) played 90 minutes, finished on a 7.6 match rating. That leaves the season at 0 goals and 0 assists in 3 appearances.",Jack Deane,,anselmo-garcia-macnulty,2026-09-02T00:00,yes,,,94
report-2026-08-30-hibernian-v-dundee-fc,2026-08-30,,Jacob Devaney and Jamie McGrath shine as Hibernian beat Dundee FC 2-1,Premiership: Jacob Devaney (rated 7.6); Jamie McGrath (rated 7.5).,"Hibernian beat Dundee FC 2-1 in the Premiership on Sunday 30 August.

## The Irish on the pitch
- [Jacob Devaney](/player/jacob-devaney.html) played 81 minutes, finished on a 7.6 match rating. That leaves the season at 0 goals and 0 assists in 1 appearances.
- [Jamie McGrath](/player/jamie-mcgrath.html) played 90 minutes, finished on a 7.5 match rating. That leaves the season at 0 goals and 0 assists in 2 appearances.",Jack Deane,,jacob-devaney,2026-09-02T00:00,yes,,,70
report-2026-08-30-empoli-v-mantova,2026-08-30,,Matteo Egan shines despite Empoli's 1-3 defeat to Mantova,"Serie B: Matteo Egan (1 assist, rated 7.6).","Empoli lose to Mantova 1-3 in the Serie B on Sunday 30 August.

## The Irish on the pitch
- [Matteo Egan](/player/matteo-egan.html) set up 1, played 90 minutes, finished on a 7.6 match rating. That leaves the season at 0 goals and 1 assist in 2 appearances.",Jack Deane,,matteo-egan,2026-09-02T00:00,yes,,,58
report-2026-08-30-mansfield-town-v-luton-town,2026-08-30,,Stephen McLaughlin shines as Mansfield Town beat Luton Town 5-2,League One: Stephen McLaughlin (rated 7.6).,"Mansfield Town beat Luton Town 5-2 in the League One on Sunday 30 August.

## The Irish on the pitch
- [Stephen McLaughlin](/player/stephen-mclaughlin.html) played 90 minutes, finished on a 7.6 match rating. That leaves the season at 0 goals and 0 assists in 3 appearances.",Jack Deane,,stephen-mclaughlin,2026-09-02T00:00,yes,,,50
report-2026-08-29-southampton-v-millwall,2026-08-29,,Finn Azaz and Mark Sykes score as Southampton beat Millwall 5-1,"Championship: Finn Azaz (1 goal, 1 assist, rated 9.1); Mark Sykes (1 goal, rated 6.6); Ryan Manning (1 assist, rated 7.9).","Southampton beat Millwall 5-1 in the Championship on Saturday 29 August.

## The Irish on the pitch
- [Finn Azaz](/player/finn-azaz.html) scored 1, set up 1, played 90 minutes, finished on a 9.1 match rating. That leaves the season at 1 goal and 2 assists in 3 appearances.
- [Mark Sykes](/player/mark-sykes.html) scored 1, played 90 minutes, finished on a 6.6 match rating. That leaves the season at 1 goal and 0 assists in 3 appearances.
- [Ryan Manning](/player/ryan-manning.html) set up 1, played 90 minutes, finished on a 7.9 match rating. That leaves the season at 1 goal and 1 assist in 3 appearances.",Jack Deane,,finn-azaz,2026-09-01T00:00,yes,,,192
report-2026-08-29-sheffield-wednesday-v-bromley,2026-08-29,,Louie Barry hits two as Sheffield Wednesday beat Bromley 7-2,"League One: Louie Barry (2 goals, 1 assist, rated 9.4); Gabriel Otegbayo (1 goal, rated 6.6).","Sheffield Wednesday beat Bromley 7-2 in the League One on Saturday 29 August.

## The Irish on the pitch
- [Louie Barry](/player/louie-barry.html) scored 2, set up 1, played 79 minutes, finished on a 9.4 match rating. That leaves the season at 2 goals and 1 assist in 3 appearances.
- [Gabriel Otegbayo](/player/gabriel-otegbayo.html) scored 1, played 45 minutes, finished on a 6.6 match rating. That leaves the season at 1 goal and 0 assists in 3 appearances.",Jack Deane,,louie-barry,2026-09-01T00:00,yes,,,180
report-2026-08-29-cardiff-city-v-sheffield-united,2026-08-29,,Jack Moylan and Tom Cannon score as Cardiff City draw 2-2 with Sheffield United,"Championship: Jack Moylan (1 goal, rated 8.0); Tom Cannon (1 goal, rated 7.8); Joel Bagan (rated 7.9).","Cardiff City draw with Sheffield United 2-2 in the Championship on Saturday 29 August.

## The Irish on the pitch
- [Jack Moylan](/player/jack-moylan.html) scored 1, played 85 minutes, finished on a 8.0 match rating. That leaves the season at 1 goal and 0 assists in 3 appearances.
- [Tom Cannon](/player/tom-cannon.html) scored 1, played 84 minutes, finished on a 7.8 match rating. That leaves the season at 1 goal and 0 assists in 2 appearances.
- [Joel Bagan](/player/joel-bagan.html) played 90 minutes, finished on a 7.9 match rating. That leaves the season at 0 goals and 0 assists in 3 appearances.",Jack Deane,,jack-moylan,2026-09-01T00:00,yes,,,156
