slug,date,season,from_club,to_club,fee,market_value,kind
aaron-bolger,2025-07-03,25/26,St. Pat's,Galway United,free transfer,€100k,free
aaron-bolger,2025-06-30,24/25,Ebbsfleet,St. Pat's,End of loan,€100k,loan end
aaron-bolger,2025-02-04,24/25,St. Pat's,Ebbsfleet,loan transfer,€100k,loan
aaron-bolger,2024-01-01,23/24,Cork City,St. Pat's,free transfer,€100k,free
aaron-bolger,2021-07-29,21/22,Cardiff City U23,Cork City,free transfer,€150k,free
aaron-bolger,2021-06-30,20/21,Longford Town,Cardiff City U23,End of loan,€150k,loan end
aaron-bolger,2021-01-30,20/21,Cardiff City U23,Longford Town,loan transfer,€150k,loan
aaron-bolger,2020-12-31,20/21,Shamrock Rovers,Cardiff City U23,End of loan,€150k,loan end
aaron-bolger,2020-08-01,20/21,Cardiff City U23,Shamrock Rovers,loan transfer,€150k,loan
aaron-bolger,2019-07-01,19/20,Shamrock Rovers,Cardiff City U23,?,-,
aaron-bolger,2019-05-31,18/19,Cardiff City U23,Shamrock Rovers,End of loan,-,loan end
aaron-bolger,2019-02-04,18/19,Shamrock Rovers,Cardiff City U23,loan transfer,-,loan
aaron-bolger,2016-07-01,16/17,St. Josephs Boys,Shamrock Rovers,free transfer,-,free
aaron-brennan,2026-08-14,26/27,WFC Academy,Waterford FC,-,-,
aaron-connolly,2025-07-07,25/26,Millwall,Leyton Orient,free transfer,€2.20m,free
aaron-connolly,2025-01-16,24/25,Sunderland,Millwall,free transfer,€2.50m,free
aaron-connolly,2024-09-24,24/25,Without Club,Sunderland,-,€2.50m,
aaron-connolly,2024-07-01,24/25,Hull City,Without Club,-,€2.50m,
aaron-connolly,2023-08-02,23/24,Brighton,Hull City,€1.35m,€4.00m,fee
aaron-connolly,2023-05-31,22/23,Hull City,Brighton,End of loan,€5.00m,loan end
aaron-connolly,2023-01-06,22/23,Brighton,Hull City,loan transfer,€5.00m,loan
aaron-connolly,2023-01-05,22/23,Venezia,Brighton,End of loan,€5.00m,loan end
aaron-connolly,2022-07-14,22/23,Brighton,Venezia,loan transfer,€6.00m,loan
aaron-connolly,2022-05-31,21/22,Middlesbrough,Brighton,End of loan,€6.00m,loan end
aaron-connolly,2022-01-02,21/22,Brighton,Middlesbrough,loan transfer,€7.00m,loan
aaron-connolly,2019-07-01,19/20,Brighton U23,Brighton,-,-,
aaron-connolly,2019-05-31,18/19,Luton,Brighton U23,End of loan,-,loan end
aaron-connolly,2019-01-31,18/19,Brighton U23,Luton,loan transfer,-,loan
aaron-connolly,2018-01-01,17/18,Brighton U18,Brighton U23,-,-,
aaron-connolly,2016-07-01,16/17,Mervue Academy,Brighton U18,?,-,
aaron-drinan,2024-02-01,23/24,Leyton Orient,Swindon Town,?,€175k,
aaron-drinan,2021-07-01,21/22,Ipswich,Leyton Orient,?,€100k,
aaron-drinan,2020-05-31,19/20,Ayr United,Ipswich,End of loan,€100k,loan end
aaron-drinan,2020-01-17,19/20,Ipswich,Ayr United,loan transfer,€100k,loan
aaron-drinan,2019-11-30,19/20,GAIS,Ipswich,End of loan,€100k,loan end
aaron-drinan,2019-08-08,19/20,Ipswich,GAIS,loan transfer,€100k,loan
aaron-drinan,2019-06-30,18/19,Waterford FC,Ipswich,End of loan,€100k,loan end
aaron-drinan,2019-02-13,18/19,Ipswich,Waterford FC,loan transfer,€100k,loan
aaron-drinan,2018-11-26,18/19,Sutton Utd,Ipswich,End of loan,€100k,loan end
aaron-drinan,2018-08-01,18/19,Ipswich,Sutton Utd,loan transfer,€100k,loan
aaron-drinan,2018-01-04,17/18,Waterford FC,Ipswich,€100k,-,fee
aaron-drinan,2017-07-31,17/18,Cork Academy,Waterford FC,free transfer,-,free
aaron-greene,2018-07-07,18/19,Bray Wanderers,Shamrock Rovers,free transfer,€50k,free
aaron-greene,2017-01-01,16/17,Limerick FC,Bray Wanderers,free transfer,€50k,free
aaron-greene,2016-02-19,15/16,St. Pat's,Limerick FC,free transfer,€50k,free
aaron-greene,2014-07-31,14/15,Sligo Rovers,St. Pat's,free transfer,€50k,free
aaron-greene,2013-01-01,12/13,Shamrock Rovers,Sligo Rovers,free transfer,€50k,free
aaron-greene,2012-01-01,11/12,Sligo Rovers,Shamrock Rovers,free transfer,€50k,free
aaron-greene,2011-01-01,10/11,Bohemians,Sligo Rovers,free transfer,€50k,free
aaron-greene,2009-11-30,09/10,Galway United,Bohemians,End of loan,-,loan end
aaron-greene,2009-08-11,09/10,Bohs Academy,Galway United,loan transfer,-,loan
aaron-heaney,2026-07-17,26/27,HW Welders,Newington,free transfer,-,free
aaron-heaney,2025-09-01,25/26,Derry City,HW Welders,?,-,
aaron-heaney,2025-05-31,24/25,Glenavon,Derry City,End of loan,€25k,loan end
aaron-heaney,2025-01-30,24/25,Derry City,Glenavon,loan transfer,-,loan
aaron-heaney,2024-08-09,24/25,Derry Academy,Derry City,-,-,
aaron-heaney,2023-01-01,22/23,Sligo Academy,Derry Academy,free transfer,-,free
aaron-keogh,2026-01-01,25/26,Shels Academy,Dundalk FC,free transfer,-,free
aaron-maguire,2026-06-30,25/26,Hampton & Rich.,Tottenham U21,End of loan,-,loan end
aaron-maguire,2026-02-02,25/26,Tottenham U21,Hampton & Rich.,loan transfer,-,loan
aaron-maguire,2022-07-01,22/23,Spurs U18,Tottenham U21,-,-,
aaron-maguire,2020-07-01,20/21,Tottenham Yth.,Spurs U18,-,-,
aaron-mccarey,2024-07-01,24/25,Glentoran,Portadown,free transfer,€250k,free
aaron-mccarey,2021-07-27,21/22,Cliftonville,Glentoran,?,€175k,
aaron-mccarey,2021-01-01,20/21,Dundalk FC,Cliftonville,free transfer,€175k,free
aaron-mccarey,2019-01-01,18/19,Warrenpoint,Dundalk FC,free transfer,€175k,free
aaron-mccarey,2018-09-03,18/19,Without Club,Warrenpoint,-,€175k,
aaron-mccarey,2018-07-01,18/19,Ross County,Without Club,-,€175k,
aaron-mccarey,2016-07-01,16/17,Wolves,Ross County,free transfer,€100k,free
aaron-mccarey,2015-11-24,15/16,Bury,Wolves,End of loan,€100k,loan end
aaron-mccarey,2015-10-24,15/16,Wolves,Bury,loan transfer,€100k,loan
aaron-mccarey,2015-10-23,15/16,Portsmouth,Wolves,End of loan,€100k,loan end
aaron-mccarey,2015-09-23,15/16,Wolves,Portsmouth,loan transfer,€100k,loan
aaron-mccarey,2014-01-01,13/14,York City,Wolves,End of loan,€100k,loan end
aaron-mccarey,2013-11-29,13/14,Wolves,York City,loan transfer,€100k,loan
aaron-mccarey,2013-03-16,12/13,Walsall,Wolves,End of loan,-,loan end
aaron-mccarey,2013-02-21,12/13,Wolves,Walsall,loan transfer,-,loan
aaron-mccarey,2013-01-13,12/13,Walsall,Wolves,End of loan,-,loan end
aaron-mccarey,2012-11-16,12/13,Wolves,Walsall,loan transfer,-,loan
aaron-mccarey,2010-01-01,09/10,Monaghan United,Wolves,free transfer,-,free
aaron-mccarey,2009-07-01,09/10,Mons Academy,Monaghan United,-,-,
aaron-mceneff,2026-01-25,25/26,Shamrock Rovers,Glentoran,?,€300k,
aaron-mceneff,2025-01-01,24/25,Perth Glory,Shamrock Rovers,?,€300k,
aaron-mceneff,2024-12-31,24/25,Shamrock Rovers,Perth Glory,End of loan,€300k,loan end
aaron-mceneff,2024-01-19,23/24,Perth Glory,Shamrock Rovers,loan transfer,€350k,loan
aaron-mceneff,2022-07-18,22/23,Heart of Midl.,Perth Glory,?,€400k,
aaron-mceneff,2021-02-01,20/21,Shamrock Rovers,Heart of Midl.,€200k,€200k,fee
aaron-mceneff,2019-01-01,18/19,Derry City,Shamrock Rovers,free transfer,-,free
aaron-mceneff,2015-07-30,15/16,Tottenham U21,Derry City,free transfer,-,free
aaron-mceneff,2013-07-01,13/14,Spurs U18,Tottenham U21,-,-,
aaron-mceneff,2012-07-01,12/13,Institute U18,Spurs U18,?,-,
aaron-molloy,2025-12-18,25/26,Charleston,Lexington SC,€85k,€350k,fee
aaron-molloy,2023-12-04,23/24,Memphis 901,Charleston,free transfer,€350k,free
aaron-molloy,2022-01-11,21/22,Forward Madison,Memphis 901,?,€200k,
aaron-molloy,2021-02-17,20/21,Portland 2,Forward Madison,free transfer,-,free
aaron-molloy,2020-03-05,19/20,Without Club,Portland 2,-,-,
aaron-molloy,2020-02-01,19/20,Portland,Without Club,-,-,
aaron-molloy,2020-01-09,19/20,Penn State,Portland,draft,-,fee
aaron-molloy,2019-08-01,19/20,Reading United,Penn State,End of loan,-,loan end
aaron-molloy,2019-05-01,18/19,Penn State,Reading United,loan transfer,-,loan
aaron-molloy,2018-08-01,18/19,Reading United,Penn State,End of loan,-,loan end
aaron-molloy,2018-05-01,17/18,Penn State,Reading United,loan transfer,-,loan
aaron-molloy,2017-08-01,17/18,Keiser Uni,Penn State,free transfer,-,free
aaron-molloy,2017-07-31,17/18,Reading United,Keiser Uni,End of loan,-,loan end
aaron-molloy,2017-05-01,16/17,Keiser Uni,Reading United,loan transfer,-,loan
aaron-molloy,2016-08-01,16/17,Drogheda United,Keiser Uni,free transfer,-,free
aaron-molloy,2016-01-01,15/16,Drogs Academy,Drogheda United,-,-,
aaron-ochoa,2024-07-01,24/25,Atl. Malagueño,Málaga CF,-,€100k,
aaron-ochoa,2023-07-01,23/24,Málaga CF Youth,Atl. Malagueño,-,-,
aaron-okpolokpo,2026-02-21,25/26,SJK II,FK Apolonia,free transfer,-,free
aaron-okpolokpo,2025-08-25,25/26,Miroslava,SJK II,free transfer,-,free
aaron-okpolokpo,2024-07-01,24/25,Ipswich Town Yo,Miroslava,free transfer,-,free
aaron-oreilly,2026-08-08,26/27,Huddersf. U21,Buxton,free transfer,-,free
aaron-oreilly,2024-08-28,24/25,Aston Villa U21,Huddersf. U21,free transfer,-,free
aaron-oreilly,2022-07-01,22/23,Aston Villa U18,Aston Villa U21,-,-,
aaron-oreilly,2020-07-01,20/21,Pat's Academy,Aston Villa U18,?,-,
adam-banim,2026-01-01,25/26,St. Pat's,Without Club,-,-,
adam-banim,2024-02-15,23/24,Pat's Academy,St. Pat's,-,-,
adam-banim,2022-03-05,21/22,Bohs Academy,Pat's Academy,free transfer,-,free
adam-banim,2020-07-01,20/21,Belvedere FC,Bohs Academy,free transfer,-,free
adam-banim,2016-07-01,16/17,Lucan United,Belvedere FC,free transfer,-,free
adam-brennan,2026-01-30,25/26,UCD,Shamrock Rovers,free transfer,-,free
adam-brennan,2024-04-26,23/24,UCD Academy,UCD,-,-,
adam-brogan,2026-08-21,26/27,Southampton U18,Bournemouth U18,free transfer,-,free
adam-brogan,2026-07-01,26/27,Southampton Aca,Southampton U18,-,-,
adam-byrne,2026-07-17,26/27,Rovers Academy,Longford Town,free transfer,-,free
adam-deans,2026-07-01,26/27,St. Francis,Lucan United,free transfer,-,free
adam-deans,2026-01-01,25/26,St. Pat's,St. Francis,free transfer,-,free
adam-deans,2024-04-05,23/24,Pat's Academy,St. Pat's,-,-,
adam-deans,2023-01-01,22/23,St. Josephs Boys,Pat's Academy,free transfer,-,free
adam-deans,2021-01-01,20/21,Bray Academy,St. Josephs Boys,free transfer,-,free
adam-deans,2018-01-01,17/18,Rovers Academy,Bray Academy,free transfer,-,free
adam-idah,2025-09-01,25/26,Celtic,Swansea,€6.90m,€6.50m,fee
adam-idah,2024-08-14,24/25,Norwich,Celtic,€9.90m,€3.50m,fee
adam-idah,2024-06-30,23/24,Celtic,Norwich,End of loan,€3.50m,loan end
adam-idah,2024-02-01,23/24,Norwich,Celtic,loan transfer,€2.80m,loan
adam-idah,2019-07-01,19/20,Norwich City U23,Norwich,-,-,
adam-idah,2018-07-01,18/19,Norwich U18,Norwich City U23,-,-,
adam-idah,2017-07-21,17/18,Corinthians,Norwich U18,?,-,
adam-mcdonnell,2023-01-01,22/23,Sligo Rovers,Bohemians,free transfer,€100k,free
adam-mcdonnell,2021-07-11,21/22,Boreham Wood,Sligo Rovers,free transfer,-,free
adam-mcdonnell,2019-07-01,19/20,Aldershot,Boreham Wood,free transfer,-,free
adam-mcdonnell,2018-01-26,17/18,Ipswich,Aldershot,?,-,
adam-mcdonnell,2017-12-21,17/18,Aldershot,Ipswich,End of loan,-,loan end
adam-mcdonnell,2017-08-30,17/18,Ipswich,Aldershot,loan transfer,-,loan
adam-mcdonnell,2014-08-31,14/15,Shelbourne,Ipswich,?,-,
adam-mcdonnell,2014-01-01,13/14,Shels Academy,Shelbourne,-,-,
adam-mcdonnell,2011-07-01,11/12,Home Farm,Shels Academy,free transfer,-,free
adam-murphy,2026-08-21,26/27,Bristol U21,Fleetwood,loan transfer,-,loan
adam-murphy,2026-01-09,25/26,Swindon Town,Bristol U21,End of loan,-,loan end
adam-murphy,2025-09-01,25/26,Bristol U21,Swindon Town,loan transfer,-,loan
adam-murphy,2024-01-03,23/24,St. Pat's,Bristol U21,€250k,€100k,fee
adam-murphy,2021-07-02,21/22,Pat's Academy,St. Pat's,-,-,
adam-murphy,2020-01-01,19/20,Belvedere FC,Pat's Academy,free transfer,-,free
adam-nelson,2026-07-01,26/27,Glentoran U18,Sunderland U18,?,-,
adam-ohalloran,2026-01-01,25/26,Galway United,Mervue United,free transfer,-,free
adam-ohalloran,2025-01-01,24/25,Treaty United,Galway United,free transfer,-,free
adam-ohalloran,2024-01-18,23/24,Galway United,Treaty United,free transfer,-,free
adam-ohalloran,2022-10-21,22/23,Galway Academy,Galway United,-,-,
adam-ohalloran,2020-01-01,19/20,Mervue Academy,Galway Academy,free transfer,-,free
adam-oreilly,2023-01-30,22/23,Preston,Derry City,?,€400k,
adam-oreilly,2022-11-30,22/23,St. Pat's,Preston,End of loan,€400k,loan end
adam-oreilly,2022-01-20,21/22,Preston,St. Pat's,loan transfer,€400k,loan
adam-oreilly,2021-12-31,21/22,Stalybridge,Preston,End of loan,€400k,loan end
adam-oreilly,2021-11-19,21/22,Preston,Stalybridge,loan transfer,€100k,loan
adam-oreilly,2021-06-30,20/21,Waterford FC,Preston,End of loan,€100k,loan end
adam-oreilly,2021-02-22,20/21,Preston,Waterford FC,loan transfer,€100k,loan
adam-oreilly,2020-12-17,20/21,Bamber Bridge,Preston,End of loan,€100k,loan end
adam-oreilly,2020-10-27,20/21,Preston,Bamber Bridge,loan transfer,€100k,loan
adam-oreilly,2020-05-31,19/20,Stalybridge,Preston,End of loan,€100k,loan end
adam-oreilly,2020-02-11,19/20,Preston,Stalybridge,loan transfer,€100k,loan
adam-oreilly,2019-07-01,19/20,Preston U19,Preston,-,-,
adam-oreilly,2019-05-31,18/19,Hyde United,Preston U19,End of loan,-,loan end
adam-oreilly,2019-04-04,18/19,Preston U19,Hyde United,loan transfer,-,loan
adam-oreilly,2017-07-01,17/18,Ringmahon,Preston U19,?,-,
adam-rooney,2026-03-06,25/26,Hereford,King's Lynn,free transfer,-,free
adam-rooney,2023-07-01,23/24,Brackley,Hereford,free transfer,-,free
adam-rooney,2022-10-11,22/23,Stratford Town,Brackley,free transfer,-,free
adam-rooney,2022-08-19,22/23,Solihull Moors,Stratford Town,free transfer,-,free
adam-rooney,2020-03-13,19/20,Salford,Solihull Moors,?,€650k,
adam-rooney,2018-07-19,18/19,Aberdeen FC,Salford,?,€650k,
adam-rooney,2014-01-23,13/14,Oldham Athletic,Aberdeen FC,free transfer,€500k,free
adam-rooney,2013-08-01,13/14,Birmingham,Oldham Athletic,free transfer,€500k,free
adam-rooney,2013-05-31,12/13,Swindon Town,Birmingham,End of loan,€500k,loan end
adam-rooney,2012-08-31,12/13,Birmingham,Swindon Town,loan transfer,€500k,loan
adam-rooney,2011-07-01,11/12,Inverness CT,Birmingham,free transfer,€750k,free
adam-rooney,2008-07-01,08/09,Stoke City,Inverness CT,€65k,€350k,fee
adam-rooney,2008-05-01,07/08,Bury,Stoke City,End of loan,€350k,loan end
adam-rooney,2008-02-01,07/08,Stoke City,Bury,loan transfer,€350k,loan
adam-rooney,2007-12-01,07/08,Chesterfield,Stoke City,End of loan,€350k,loan end
adam-rooney,2007-08-01,07/08,Stoke City,Chesterfield,loan transfer,€350k,loan
adam-rooney,2007-05-01,06/07,Yeovil Town,Stoke City,End of loan,€50k,loan end
adam-rooney,2007-03-01,06/07,Stoke City,Yeovil Town,loan transfer,€50k,loan
adam-rooney,2006-07-01,06/07,Stoke U18,Stoke City,-,€50k,
adam-rooney,2005-07-01,05/06,Crumlin United,Stoke U18,?,-,
ade-solanke,2026-01-15,25/26,FC Lorient U19,Bournemouth U21,?,-,
ade-solanke,2025-01-31,24/25,Rovers Academy,FC Lorient U19,?,-,
ademipo-odubeko,2025-01-01,24/25,Fleetwood,Shelbourne,free transfer,€100k,free
ademipo-odubeko,2024-08-12,23/24,Marítimo,Fleetwood,free transfer,€100k,free
ademipo-odubeko,2023-07-17,23/24,West Ham U21,Marítimo,free transfer,€350k,free
ademipo-odubeko,2023-05-31,22/23,Port Vale,West Ham U21,End of loan,€350k,loan end
ademipo-odubeko,2022-08-26,22/23,West Ham U21,Port Vale,loan transfer,€300k,loan
ademipo-odubeko,2022-05-31,21/22,Doncaster,West Ham U23,End of loan,€300k,loan end
ademipo-odubeko,2022-01-27,21/22,West Ham U23,Doncaster,loan transfer,€300k,loan
ademipo-odubeko,2022-01-04,21/22,Huddersfield,West Ham U23,End of loan,€300k,loan end
ademipo-odubeko,2021-08-30,21/22,West Ham U23,Huddersfield,loan transfer,€250k,loan
ademipo-odubeko,2020-07-01,20/21,West Ham U18,West Ham U23,-,-,
ademipo-odubeko,2019-10-25,19/20,Man Utd Youth,West Ham U18,free transfer,-,free
ademipo-odubeko,2016-07-01,16/17,Man City Youth,Man Utd Youth,free transfer,-,free
adrien-thibaut,2025-12-03,25/26,Southport,Crewe Alexandra,End of loan,€75k,loan end
adrien-thibaut,2025-10-04,25/26,Crewe Alexandra,Southport,loan transfer,€75k,loan
adrien-thibaut,2024-08-20,24/25,Bradford PA,Crewe Alexandra,free transfer,-,free
adrien-thibaut,2024-03-02,23/24,Macclesfield,Bradford PA,free transfer,-,free
adrien-thibaut,2024-02-01,23/24,Cobh Ramblers,Macclesfield,free transfer,-,free
adrien-thibaut,2023-02-17,22/23,Cobh Academy,Cobh Ramblers,-,-,
adrien-thibaut,2022-02-01,21/22,Douglas Hall,Cobh Academy,free transfer,-,free
adrien-thibaut,2020-01-01,19/20,Corinthians,Douglas Hall,free transfer,-,free
ahu-obhakhan,2024-07-30,24/25,Glebe North,Portadown,free transfer,-,free
ahu-obhakhan,2022-01-01,21/22,Drogheda United,Glebe North,free transfer,€25k,free
ahu-obhakhan,2021-09-03,21/22,Institute,Drogheda United,free transfer,-,free
ahu-obhakhan,2020-01-01,19/20,Torredonjimeno,Institute,free transfer,-,free
ahu-obhakhan,2019-02-19,18/19,FD Knights,Torredonjimeno,free transfer,-,free
ahu-obhakhan,2015-07-01,15/16,Shels Academy,FD Knights,free transfer,-,free
aidan-gabbidon,2026-02-20,25/26,Malmö FF U17,Sligo Rovers,?,-,
aidan-gabbidon,2025-01-28,24/25,Sligo Rovers,Malmö FF U17,€20k,-,fee
aidan-gabbidon,2024-05-03,23/24,Sligo Academy,Sligo Rovers,-,-,
aidan-keena,2024-07-28,24/25,Cheltenham,St. Pat's,free transfer,€275k,free
aidan-keena,2023-01-29,22/23,Sligo Rovers,Cheltenham,€85k,€200k,fee
aidan-keena,2022-01-24,21/22,Falkirk,Sligo Rovers,free transfer,-,free
aidan-keena,2020-08-05,20/21,Hartlepool,Falkirk,?,€75k,
aidan-keena,2020-01-10,19/20,Hearts FC B,Hartlepool,?,€75k,
aidan-keena,2019-01-14,18/19,Dunfermline A.,Hearts FC B,End of loan,€75k,loan end
aidan-keena,2018-08-31,18/19,Hearts FC B,Dunfermline A.,loan transfer,€50k,loan
aidan-keena,2018-07-01,18/19,Hearts FC U20,Hearts FC B,-,€50k,
aidan-keena,2018-05-06,17/18,Queen's Park,Hearts FC U20,End of loan,-,loan end
aidan-keena,2018-01-26,17/18,Hearts FC U20,Queen's Park,loan transfer,-,loan
aidan-keena,2017-08-26,17/18,St. Pat's,Hearts FC U20,€11k,-,fee
aidan-keena,2017-01-01,16/17,Pat's Academy,St. Pat's,-,-,
aidan-keena,2016-01-01,15/16,Shels Academy,Pat's Academy,free transfer,-,free
aidomo-emakhu,2026-02-02,25/26,Millwall,Oxford United,?,€900k,
aidomo-emakhu,2023-01-01,22/23,Shamrock Rovers,Millwall,?,€125k,
aidomo-emakhu,2021-02-01,20/21,Rovers Academy,Shamrock Rovers,-,-,
aidomo-emakhu,2020-02-01,19/20,Shels Academy,Rovers Academy,free transfer,-,free
ajibola-oluwabiyi,2026-07-29,26/27,Without Club,Bray Wanderers,-,-,
ajibola-oluwabiyi,2026-01-01,25/26,Wexford FC,Without Club,-,-,
ajibola-oluwabiyi,2025-07-02,25/26,Rovers Academy,Wexford FC,free transfer,-,free
alan-browne,2026-06-30,25/26,Middlesbrough,Sunderland,End of loan,€2.00m,loan end
alan-browne,2025-09-01,25/26,Sunderland,Middlesbrough,loan transfer,€2.20m,loan
alan-browne,2024-07-11,24/25,Preston,Sunderland,free transfer,€3.00m,free
alan-browne,2014-01-01,13/14,Cork Academy,Preston,?,-,
alan-browne,2012-07-01,12/13,Ringmahon,Cork Academy,free transfer,-,free
alan-reynolds,2008-01-01,07/08,Shamrock Rovers,Retired,-,-,
alan-reynolds,2007-07-01,07/08,Waterford Utd,Shamrock Rovers,free transfer,-,free
alan-reynolds,2006-07-01,06/07,Shelbourne,Waterford Utd,free transfer,-,free
alan-reynolds,2005-07-01,05/06,Waterford Utd,Shelbourne,free transfer,-,free
alan-reynolds,2004-01-01,03/04,Shamrock Rovers,Waterford Utd,free transfer,-,free
alan-reynolds,2003-01-01,02/03,Cork City,Shamrock Rovers,free transfer,-,free
alan-reynolds,2002-07-01,02/03,Longford Town,Cork City,free transfer,-,free
alan-reynolds,2001-07-01,01/02,Waterford Utd,Longford Town,free transfer,-,free
alan-reynolds,1991-07-01,91/92,WFC Academy,Waterford Utd,-,-,
alan-zborowski,2026-07-28,26/27,Waterford FC,Cobh Ramblers,loan transfer,€75k,loan
alan-zborowski,2025-02-15,24/25,WFC Academy,Waterford FC,-,-,
alex-flynn,2025-12-18,25/26,Shels Academy,Shelbourne,-,-,
alex-gilbert,2026-07-01,26/27,Middlesbrough,Without Club,-,€1.00m,
alex-gilbert,2025-06-30,24/25,Charlton,Middlesbrough,End of loan,€500k,loan end
alex-gilbert,2025-02-03,24/25,Middlesbrough,Charlton,loan transfer,€500k,loan
alex-gilbert,2023-07-04,23/24,Brentford B,Middlesbrough,free transfer,€100k,free
alex-gilbert,2022-01-04,21/22,Swindon Town,Brentford B,End of loan,€100k,loan end
alex-gilbert,2021-08-31,21/22,Brentford B,Swindon Town,loan transfer,€100k,loan
alex-gilbert,2020-09-28,20/21,West Brom U18,Brentford B,free transfer,-,free
alex-gilbert,2018-07-01,18/19,West Brom Yth.,West Brom U18,-,-,
alex-murphy,2026-08-11,26/27,Newcastle,1.FC K'lautern,loan transfer,€1.50m,loan
alex-murphy,2025-07-01,25/26,Newcastle U21,Newcastle,-,€300k,
alex-murphy,2025-05-31,24/25,Bolton,Newcastle U21,End of loan,€250k,loan end
alex-murphy,2025-01-20,24/25,Newcastle U21,Bolton,loan transfer,€250k,loan
alex-murphy,2022-07-09,22/23,Galway United,Newcastle U21,€100k,-,fee
alex-murphy,2021-03-01,20/21,Galway Academy,Galway United,-,-,
alex-nolan,2026-01-01,25/26,Cork City,Sligo Rovers,free transfer,€75k,free
alex-nolan,2025-01-01,24/25,St. Pat's,Cork City,free transfer,€100k,free
alex-nolan,2023-07-06,23/24,UCD,St. Pat's,free transfer,€75k,free
alex-nolan,2022-01-21,21/22,Shelbourne,UCD,free transfer,€25k,free
alex-nolan,2021-05-28,20/21,Shels Academy,Shelbourne,-,-,
alex-nolan,2019-11-01,19/20,Rovers Academy,Shels Academy,free transfer,-,free
alex-noonan,2024-08-15,24/25,Rovers Academy,Shamrock Rovers,-,-,
alfie-mulvenna,2026-07-29,26/27,Larne U18,Palace U18,?,-,
alfie-pollock,2026-07-25,26/27,Glenavon U18,Sunderland U18,?,-,
ali-reghba,2025-02-03,24/25,Rabotnicki,NK Maribor,€150k,€500k,fee
ali-reghba,2024-02-11,23/24,Without Club,Rabotnicki,-,€175k,
ali-reghba,2023-08-01,23/24,CR Belouizdad,Without Club,-,€175k,
ali-reghba,2022-01-31,21/22,Leicester U23,CR Belouizdad,free transfer,-,free
ali-reghba,2019-07-05,19/20,Bohemians,Leicester U23,?,-,
ali-reghba,2019-01-01,18/19,Bohs Academy,Bohemians,-,-,
ali-topcu,2024-07-11,24/25,Shels Academy,Shelbourne,-,-,
andrew-moran,2026-02-02,25/26,Brighton,Preston,€1.15m,€3.50m,fee
andrew-moran,2025-12-31,25/26,LAFC,Brighton,End of loan,€3.50m,loan end
andrew-moran,2025-08-21,25/26,Brighton,LAFC,loan transfer,€3.50m,loan
andrew-moran,2025-07-01,25/26,Brighton U21,Brighton,-,€3.50m,
andrew-moran,2025-05-31,24/25,Stoke City,Brighton U21,End of loan,€3.50m,loan end
andrew-moran,2024-08-16,24/25,Brighton U21,Stoke City,loan transfer,€3.00m,loan
andrew-moran,2024-05-31,23/24,Blackburn,Brighton U21,End of loan,€3.00m,loan end
andrew-moran,2023-08-26,23/24,Brighton U21,Blackburn,loan transfer,€300k,loan
andrew-moran,2021-07-01,21/22,Brighton U18,Brighton U23,-,-,
andrew-moran,2020-07-01,20/21,Bray Wanderers,Brighton U18,?,-,
andrew-moran,2020-02-01,19/20,Bray Academy,Bray Wanderers,-,-,
andrew-omobamidele,2025-07-01,25/26,Nott'm Forest,R. Strasbourg,€10.50m,€8.00m,fee
andrew-omobamidele,2025-06-30,24/25,R. Strasbourg,Nott'm Forest,End of loan,€8.00m,loan end
andrew-omobamidele,2025-01-24,24/25,Nott'm Forest,R. Strasbourg,loan transfer,€11.00m,loan
andrew-omobamidele,2023-09-01,23/24,Norwich,Nott'm Forest,€12.85m,€6.00m,fee
andrew-omobamidele,2021-01-01,20/21,Norwich City U23,Norwich,-,-,
andrew-omobamidele,2020-07-01,20/21,Norwich U18,Norwich City U23,-,-,
andrew-omobamidele,2018-07-01,18/19,Leixlip United,Norwich U18,?,-,
andrew-quinn,2024-01-01,23/24,Shelbourne,Drogheda United,free transfer,€75k,free
andrew-quinn,2023-01-01,22/23,Drogheda United,Shelbourne,free transfer,€75k,free
andrew-quinn,2022-01-01,21/22,Dundalk FC,Drogheda United,free transfer,-,free
andrew-quinn,2021-11-30,20/21,Bray Wanderers,Dundalk FC,End of loan,-,loan end
andrew-quinn,2021-02-22,20/21,Dundalk FC,Bray Wanderers,loan transfer,-,loan
andrew-quinn,2020-09-27,20/21,Dundalk Academy,Dundalk FC,-,-,
andrew-wogan,2026-05-30,25/26,Boston Utd,Stockport,End of loan,€50k,loan end
andrew-wogan,2026-01-24,25/26,Stockport,Boston Utd,loan transfer,€50k,loan
andrew-wogan,2025-08-29,25/26,Chester,Stockport,End of loan,€50k,loan end
andrew-wogan,2025-08-16,25/26,Stockport,Chester,loan transfer,€50k,loan
andrew-wogan,2025-03-27,24/25,Marine FC,Stockport,End of loan,€75k,loan end
andrew-wogan,2025-01-28,24/25,Stockport,Marine FC,loan transfer,€75k,loan
andrew-wogan,2024-11-30,24/25,Drogheda United,Stockport,End of loan,€75k,loan end
andrew-wogan,2024-07-08,24/25,Stockport,Drogheda United,loan transfer,€75k,loan
andrew-wogan,2024-07-07,24/25,Drogheda United,Stockport,€100k,€75k,fee
andrew-wogan,2023-04-15,22/23,Drogs Academy,Drogheda United,-,-,
andy-lyons,2023-01-01,22/23,Shamrock Rovers,Blackpool,€350k,€175k,fee
