slug,league,club,club_id,age,born,foot,senior_caps,senior_goals,senior_debut,youth,season,s_apps,s_starts,s_goals,s_assists,s_mins,s_yellow,s_red,c_apps,c_goals,c_assists,avg_rating,source
dan-mcnamara,Championship,Charlton Athletic,8451,27,,Right,,,,U21:2:0:2019,2026/27,2,2,0,0,175,1,0,236,5,4,7.05,auto
daniel-chukwu,Premier Division,St. Patrick's Athletic,1854,21,,,,,,,,,,,,,,,,,,,auto
daniel-cleary,Premier Division,Shamrock Rovers,4131,30,,Right,,,,U19:1:0:2013; U17:6:1:2012,2026,7,6,0,0,488,1,0,294,18,6,6.90,auto
daniel-grant,Premier Division,Shamrock Rovers,4131,26,,Right,,,,U21:3:0:2019,2026,13,9,2,1,895,2,0,202,27,9,6.93,auto
daniel-kelly,Premier Division,Shelbourne,5751,30,,,,,,,2026,23,15,5,2,1375,8,0,280,53,11,6.88,auto
daniel-mandroiu,Premier Division,Shamrock Rovers,4131,27,,,,,2021,U21:7:0:2019; U19:2:0:2017; U17:::2015,2026/27,4,,0,0,67,,,224,60,20,,auto
daniel-mare,Premier Division,Drogheda United,8339,19,,,,,,,2026,1,0,0,0,1,0,0,2,0,0,,auto
daniel-ring,Premier Division,Shelbourne,5751,19,,,,,,U17:::2024,2026,1,0,0,0,10,0,0,30,8,0,5.88,auto
daniel-rogers,Premier Division,St. Patrick's Athletic,1854,32,,,,,2016,U21:8:0:2015; U19:::2012,2026,4,,,,360,0,0,236,0,0,7.46,auto
dara-mccormick,First Division,Cobh Ramblers,2383,2025,,Right,,,,,,,,,,,,,5,1,0,,auto
dara-mcguinness,Premier Division,Galway United FC,520517,22,,,,,,,2025,10,7,1,1,624,0,0,28,7,1,6.25,auto
dare-kareem,First Division,Treaty United,1233534,20,,,,,,,2026,12,2,0,0,296,0,0,36,4,0,5.95,auto
darragh-brunton,Premier Division,St. Patrick's Athletic,1854,17,,,,,,,,,,,,,,,,,,,auto
darragh-nugent,Premier Division,St. Patrick's Athletic,1854,25,,,,,,,2026,26,12,1,0,1189,1,0,186,5,3,6.78,auto
darragh-power,Premier Division,Bohemian FC,4594,25,,Right,,,,,2026,27,24,0,0,2179,1,0,203,6,1,6.74,auto
daryl-horgan,Premier Division,Dundalk,1853,34,,Both,17,1,2016,U19:3:0:2010,2026,27,27,9,9,2306,2,1,600,97,45,7.62,auto
david-eguaibor,National League,Gateshead FC,6189,22,,,,,,,2026/27,1,0,0,,45,0,0,,,,,auto
david-hurley,Premier Division,Galway United FC,520517,27,,,,,,,2026,27,28,2,7,2317,6,0,281,50,12,7.39,auto
david-jonathan,Premier Division,Sligo Rovers,6361,19,,,,,,,,,,,,,,,,,,,auto
dawson-devoy,Premier Division,Bohemian FC,4594,24,,,1,0,2026,U21:7:0:2021,2026,26,26,2,5,2340,10,0,245,27,27,7.75,auto
dayle-rooney,Premier Division,Bohemian FC,4594,28,,,,,,,2026,21,17,3,4,1467,2,0,273,39,32,7.09,auto
dean-mcmenamy,Premier Division,Waterford FC,6042,24,,,,,,,2026,24,13,1,2,1250,3,0,159,10,5,6.78,auto
desmond-armstrong,Premier League,Everton,8668,19,,Right,,,,U19:8:2:2025; U18:7:0:2024,2026/27,1,1,0,1,90,0,0,55,2,5,8.04,auto
divin-isamala,Premiership,Portadown,7984,23,,Right,,,,,,,,,,,,,53,4,0,,auto
donnacha-sammon,Premier Division,Galway United FC,520517,19,,,,,,,,,,,,,,,1,0,0,,auto
dylan-connolly,Premier Division,Galway United FC,520517,31,,,,,,U21:6:1:2015; U19:3:0:2014,2026,3,1,0,0,89,0,0,398,44,11,6.02,auto
dylan-watts,Premier Division,Shamrock Rovers,4131,29,,,,,,U19:3:0:2015,2026,18,11,4,4,926,1,0,371,40,25,7.03,auto
edward-mccarthy,Premier Division,Galway United FC,520517,25,,,,,,,2026,26,22,3,0,1794,1,0,183,22,1,6.79,auto
edward-mcginty,Premier Division,Shamrock Rovers,4131,27,,,,,2026,U21:2:0:2020,2026,27,,,,2430,4,0,244,0,0,7.11,auto
edwin-agbaje,Premier Division,Drogheda United,8339,22,,,,,,U16:1:0:2019,2026,28,28,1,0,2386,5,0,54,1,0,6.82,auto
egor-vassenin,Premier Division,Dundalk,1853,18,,Left,,,,U17:2:0:2024,2026,3,0,0,0,67,0,0,6,0,0,6.65,auto
eiran-cashin,Premier League,Brighton & Hove Albion,10204,24,,Left,,,2026,U21:4:0:2022,2025/26,29,20,1,1,1958,7,0,178,7,4,7.13,auto
emmanuel-osadebe,National League,Sutton United,158316,29,,Right,,,,,2026/27,3,3,1,,270,0,0,317,26,20,,auto
emre-topcu,First Division,Longford Town,4569,21,,Right,,,,,,,,,,,,,71,2,2,,auto
enda-minogue,Premier Division,Dundalk,1853,25,,,,,,,2026,22,,,,1980,0,0,110,0,0,6.97,auto
enda-stevens,Premier Division,Shamrock Rovers,4131,36,,Left,26,0,2018,U21:1:0:2011,2026,15,12,1,1,1042,5,0,535,14,45,7.42,auto
eoin-doyle,Premier Division,Galway United FC,520517,18,,,,,,,,,,,,,,,,,,,auto
eoin-farrell,Premier League,The New Saints,7852,23,,,,,,,2026/27,4,,0,0,260,,,65,1,0,,auto
ethan-hall,Premier Division,Dundalk,1853,20,,,,,,,,,,,,,,,,,,,auto
ethan-obrien,Premier Division,Drogheda United,8339,25,,,,,,,2026,16,12,0,0,1030,1,0,63,3,3,6.72,auto
evan-caffrey,Premier Division,Shelbourne,5751,23,,,,,,U19:5:1:2021,2026,23,17,1,0,1475,4,0,203,14,17,6.93,auto
evan-ferguson,Premier League,Brighton & Hove Albion,10204,21,,Right,26,8,2022,U21:10:1:2021; U17:3:3:2019; U16:1:0:2019,2025/26,16,10,3,2,776,1,0,114,22,7,6.62,auto
evan-mclaughlin,Premier Division,Waterford FC,6042,24,,,,,,,2026,15,10,0,2,855,4,0,142,18,4,6.89,auto
festy-ebosele,Super Lig,Erzurumspor FK,281467,24,,Right,13,0,2022,U21:2:0:2021; U19:7:0:2019; U17:2:0:2019,2026/27,2,0,0,0,46,0,0,139,4,3,6.42,auto
finn-flanagan,Premiership,Portadown,7984,21,,,,,,,2025/26,3,2,1,0,214,0,0,12,1,0,7.45,auto
finn-mcdonnell,Premier Division,Bohemian FC,4594,18,,,,,,U18:2:0:2026; U17:6:0:2024,2026,1,,,,21,0,0,,,,,auto
finn-moylan,Premier Division,Shelbourne,5751,18,,,,,,,,,,,,,,,1,0,0,,auto
flynn-ryan,First Division,Bray Wanderers,1629,2025,,,,,,,,,,,,,,,,,,,auto
francely-lomboto,Premier Division,Galway United FC,520517,26,,,,,,,2026,18,6,2,0,613,1,0,148,21,0,6.23,auto
freddie-turley,Championship,Dunfermline Athletic,8457,20,,Right,,,,U21:::2025; U19:9:0:2023; U17:9:0:2022,2025/26,9,6,0,0,482,2,0,32,0,0,,auto
gabriel-kelly,Premier League 2,Stoke City U21,773650,19,,,,,,U21:1:0:2026; U17:::2022,2026/27,1,1,1,0,90,1,0,,,,7.74,auto
gareth-mcelroy,Premier Division,Sligo Rovers,6361,21,,,,,,,2026,28,25,1,0,2316,4,0,54,3,1,6.94,auto
gary-oneil,Premier Division,Shamrock Rovers,4131,31,,,,,,U17:6:1:2011,2025,13,4,0,0,348,3,0,343,39,3,6.72,auto
gavan-holohan,National League,Boston United,8646,34,,Right,,,,,2026/27,2,1,0,,136,0,0,410,61,12,,auto
gavin-mcateer,First Division,Finn Harps,1627,18,,,,,,,,,,,,,,,,,,,auto
gideon-tetteh,First Division,Wexford FC,62337,21,,Right,,,,U17:1:0:2022,,,,,,,,,99,10,0,,auto
glory-nzingo,Premier Division,St. Patrick's Athletic,1854,21,,Right,,,,U19:3:0:2022; U16:1:0:2019,2026,7,0,0,0,104,0,0,44,9,2,6.02,auto
goodness-ogbonna,First Division,UCD,1578,18,,,,,,U18:1:0:2026; U17:5:1:2024,,,,,,,,,13,0,0,,auto
grady-mcdonnell,Premier League 2,Nottingham Forest U21,1389162,18,,Both,,,,U18:3:0:2026; U17:12:1:2023,2026/27,1,1,0,0,90,0,0,22,0,2,7.21,auto
graham-burke,Premier Division,Shamrock Rovers,4131,32,,Right,3,1,2018,U21:2:0:2013; U19:3:0:2011,2026,22,14,7,0,1280,3,0,385,115,20,6.90,auto
graham-coughlan,Premier Division,Waterford FC,6042,51,,,,,,,2026/27,6,,0,0,540,,,81,2,0,,auto
graham-kelly,First Division,Bray Wanderers,1629,34,,,,,,,,,,,,,,,,,,,auto
guilherme-rego-priosti,First Division,Finn Harps,1627,20,,,,,,,2026,3,0,0,0,10,0,0,22,1,0,,auto
harry-groome,Premier Division,Dundalk,1853,24,,,,,,,2026,26,9,1,1,989,3,0,190,17,1,6.48,auto
harry-vaughan,Premier Division,Bohemian FC,4594,22,,Right,,,,U21:3:0:2025; U19:5:0:2022,2026,22,15,3,3,1088,5,0,100,6,7,6.85,auto
harvey-boddy,National League,Worthing,282351,18,,,,,,,2026/27,1,0,0,0,45,0,0,1,0,0,6.90,auto
harvey-warren,Premier Division,Dundalk,1853,22,,,,,,,2026,14,10,0,0,900,3,0,42,3,0,6.92,auto
hugh-martin,Premier Division,Bohemian FC,4594,17,,,,,,U17:2:0:2026,2026,6,0,0,0,50,0,0,7,0,0,5.68,auto
hugh-parker,National League,Scunthorpe United,8412,20,,,,,,,2026/27,2,0,0,,63,0,0,49,3,1,,auto
jack-byrne,Premier Division,Shamrock Rovers,4131,30,,,4,0,2019,U21:10:0:2014; U17:6:4:2012,2026,27,21,2,4,1814,5,0,309,44,51,7.19,auto
jack-henry-francis,Premier Division,Shelbourne,5751,22,,,,,,U19:6:0:2021,2026,19,16,2,1,1259,6,0,49,4,2,7.00,auto
jacob-devaney,Premiership,Hibernian,10251,19,,,,,,U21:7:0:2025; U19:4:0:2024,2025/26,13,12,0,1,988,2,0,18,1,1,7.00,auto
jad-hakiki,Premier Division,Sligo Rovers,6361,22,,,,,,U21:6:1:2025,2026,6,2,1,0,231,0,0,94,8,5,6.20,auto
jake-mulraney,Premier Division,Shamrock Rovers,4131,30,,Left,,,,U21:8:1:2016; U17:5:0:2012,2026,22,14,0,1,1153,1,0,349,28,27,6.68,auto
jake-obrien,Premier League,Everton,8668,25,,Right,17,0,2024,U21:11:0:2021,2025/26,37,35,1,1,3124,6,1,158,11,7,6.72,auto
james-bailey,First Division,Longford Town,4569,19,,Right,,,,,,,,,,,,,5,2,0,,auto
james-bolger,Premier Division,Drogheda United,8339,25,,,,,,,2026,17,11,0,0,1061,3,0,66,2,0,6.41,auto
james-brown,Premier Division,St. Patrick's Athletic,1854,28,,Right,,,,,2026,26,26,1,3,2149,5,0,272,8,14,7.20,auto
james-mcmanus,Premier Division,Sligo Rovers,6361,21,,,,,,U21:1:0:2025; U19:3:0:2023; U17:4:0:2021,2026,21,20,0,0,1658,4,0,102,4,2,6.92,auto
james-morahan,Premier Division,Galway United FC,520517,2025,,,,,,,2026,1,0,0,0,1,0,0,2,0,0,,auto
james-roche,Premier Division,Shelbourne,5751,18,,,,,,U19:3:0:2025; U17:5:0:2023,2026,3,1,0,0,93,1,0,10,0,0,6.05,auto
jamie-brennan,Premier Division,Drogheda United,8339,18,,,,,,,2026,1,0,0,0,45,0,0,1,0,0,,auto
jamie-lennon,Premier Division,St. Patrick's Athletic,1854,28,,,,,,U21:4:1:2019,2026,24,21,1,2,1910,6,0,269,6,8,7.46,auto
jamie-mcgrath,Premiership,Hibernian,10251,29,,Both,15,0,2021,U21:3:0:2017; U19:5:0:2014,2026/27,1,0,0,0,33,0,0,422,76,20,6.53,auto
jamie-odonnell,Premier Division,Sligo Rovers,6361,16,,,,,,U15:1:1:2025,2026,1,0,0,0,12,0,0,1,0,0,5.96,auto
jason-mcclelland,Premier Division,St. Patrick's Athletic,1854,29,,,,,,U19:2:0:2015,2026,20,13,0,2,1116,1,0,294,35,10,6.75,auto
jayson-molumby,Championship,West Bromwich Albion,8659,27,,Right,36,0,2020,U21:10:0:2019; U19:9:3:2016; U17:6:2:2015,2026/27,2,1,0,0,111,0,0,246,12,10,7.00,auto
jevon-mills,National League,Solihull Moors,161801,22,,,,,,,2025/26,24,18,1,,1656,1,0,81,2,0,,auto
jimmy-keohane,Premier Division,Galway United FC,520517,35,,Right,,,,U19:5:1:2009,2026,23,22,2,3,1771,3,0,516,60,14,6.65,auto
joe-carroll-byrne,Premier Division,St. Patrick's Athletic,1854,17,,Right,,,,U17:7:2:2025,,,,,,,,,,,,,auto
joe-hodge,Premiership,Motherwell,9927,23,,Right,1,0,2024,U21:7:1:2022; U19:4:1:2019; U17:3:0:2019; U17:4:0:2017,2026/27,2,,0,0,140,,,79,3,1,5.70,auto
joe-redmond,Premier Division,St. Patrick's Athletic,1854,26,,,,,,U21:2:0:2022; U17:1:0:2017,2026,28,28,1,2,2519,5,0,198,14,10,7.55,auto
john-mahon,Premier Division,Waterford FC,6042,26,,Right,,,,,2026,26,26,4,1,2287,8,0,189,7,1,7.11,auto
john-martin,Premier Division,Shelbourne,5751,27,,,,,,U19:1:0:2017,2026,16,14,6,1,1011,5,0,261,55,9,6.87,auto
john-osullivan,Premier Division,Shamrock Rovers,4131,20,,,,,,U21:1:0:2026; U17:::2022,2026,15,4,0,1,509,3,0,49,2,2,6.76,auto
john-ross-wilson,Premier Division,Dundalk,1853,27,,,,,,,2026,20,19,1,1,1718,3,1,210,6,5,7.00,auto
john-russell,Premier Division,Shelbourne,5751,41,,,,,,,2026/27,4,,0,0,360,,,262,27,0,,auto
jon-gallagher,Major League Soccer,Austin FC,1218886,30,,Right,,,,,2026,20,18,0,1,1582,1,0,288,27,20,6.45,auto
jonathan-afolabi,Premier Division,Shamrock Rovers,4131,26,,Left,,,2023,U21:3:0:2019; U19:13:6:2017,2026,2,1,1,0,105,0,0,140,37,8,7.34,auto
jonathan-lunney,Premier Division,Shelbourne,5751,28,,,,,,U17:9:0:2014,2026,18,14,0,0,1269,5,0,300,10,6,6.75,auto
jordan-adeyemo,1. Deild,Ægir,559291,26,,,,,,,,,,,,,,,146,37,0,,auto
jordan-mceneff,Premiership,Larne,2206,25,,,,,,U17:2:0:2018,2026/27,7,,0,0,283,,,142,9,1,,auto
josh-adam,Premier Division,Bohemian FC,4594,22,,,,,,U19:3:1:2022; U16:1:0:2019,,,,,,,,,27,1,0,,auto
josh-cullen,First Division,Finn Harps,1627,18,,,,,,,,,,,,,,,,,,,auto
josh-harpur,Premier Division,Bohemian FC,4594,17,,Right,,,,U17:5:3:2025,2026,2,0,0,0,15,0,0,3,0,0,6.11,auto
josh-keeley,League One,Luton Town,8346,23,,Right,1,0,2025,U21:8:0:2023; U19:1:0:2022; U17:::2019,2026/27,2,,,,180,0,0,116,1,1,5.68,auto
josh-oconnor,Premier Division,St. Patrick's Athletic,1854,17,,,,,,U17:4:0:2025,,,,,,,,,,,,,auto
