slug,league,club,club_id,age,born,foot,senior_caps,senior_goals,senior_debut,youth,season,s_apps,s_starts,s_goals,s_assists,s_mins,s_yellow,s_red,c_apps,c_goals,c_assists,avg_rating,source
naj-razi,Premier Division,Shamrock Rovers,4131,19,,Both,,,,U21:1:0:2026; U19:8:1:2023; U17:10:3:2022,2026,8,1,0,0,184,2,0,18,1,0,6.26,auto
niall-canavan,National League,Boston United,8646,35,,Right,,,,U21:4:0:2011,2026/27,3,3,0,,270,1,0,541,34,13,,auto
niall-morahan,Premier Division,Bohemian FC,4594,26,,,,,,U21:::2021; U19:2:0:2019,2026,17,7,0,0,567,0,0,244,4,4,6.44,auto
niall-sullivan,Premier Division,St. Patrick's Athletic,1854,17,,,,,,,,,,,,,,,,,,,auto
noah-obrien,Premier Division,Waterford FC,6042,18,,,,,,,,,,,,,,,,,,,auto
odhran-casey,Premier Division,Shelbourne,5751,24,,,,,,U21:1:0:2024,2026,5,4,0,0,359,1,0,138,6,0,7.13,auto
oisin-kelly,Premier Division,Sligo Rovers,6361,19,,,,,,,,,,,,,,,,,,,auto
oisin-mcentee,Premiership,Heart of Midlothian,9860,25,,Right,,,,U21:4:0:2021; U19:10:1:2019; U18:1:0:2018; U17:9:0:2017,2026/27,2,2,1,0,180,0,0,147,11,10,7.92,auto
orion-cala,Premier Division,Waterford FC,6042,16,,,,,,,,,,,,,,,,,,,auto
owen-elding,Premiership,Hibernian,10251,20,,,,,,,2026/27,2,1,0,0,91,0,0,88,22,5,7.20,auto
paddy-madden,Premier Division,Bohemian FC,4594,36,,Right,1,0,2013,U21:::2010,2025/26,33,23,6,1,2116,5,0,724,235,53,6.38,auto
padraig-amond,Premier Division,Waterford FC,6042,38,,,,,,,2026,28,27,9,1,2366,1,0,746,233,28,6.75,auto
patrick-barrett,Premier Division,Shelbourne,5751,33,,,,,,,2026,17,16,2,0,1366,7,0,325,20,5,6.85,auto
pijus-otegbayo,Premier League 2,Stoke City U21,773650,19,,,,,,U19:3:0:2025,2026/27,1,,0,0,76,,,3,0,0,,auto
rhys-bartley,First Division,Wexford FC,62337,20,,,,,,U17:::2022,2026,2,0,0,0,7,0,0,41,1,0,,auto
rob-slevin,Premiership,Coleraine,2202,28,,,,,,,2026,8,5,1,0,441,1,0,172,9,3,7.14,auto
robert-cornwall,Premier Division,Dundalk,1853,31,,Right,,,,,2026,18,16,1,0,1401,5,1,313,12,3,6.85,auto
ronan-boyce,Premier Division,St. Patrick's Athletic,1854,25,,,,,,U21:::2021,2026,5,1,0,0,143,1,0,178,15,3,6.45,auto
ronan-doherty,Premiership,Larne,2206,30,,,,,,,2026/27,7,,0,1,505,,,321,14,1,,auto
ronan-mansfield,First Division,Cobh Ramblers,2383,20,,,,,,,2026,7,5,0,0,496,3,0,20,0,0,5.87,auto
ronan-teahan,Premier Division,Dundalk,1853,21,,,,,,,2026,22,16,2,1,1466,3,0,124,6,1,6.78,auto
rory-gaffney,Premier Division,Shamrock Rovers,4131,36,,Right,,,,,2025,27,13,9,0,1177,2,0,528,130,32,6.61,auto
ross-tierney,Premier Division,Bohemian FC,4594,25,,Right,,,,U21:8:1:2021; U19:2:1:2019,2026,28,24,8,3,2215,5,0,227,41,10,7.35,auto
ryan-brennan,Premier Division,Drogheda United,8339,34,,,,,,,2026,22,16,2,1,1470,9,0,516,81,6,6.66,auto
ryan-burke,Premier Division,Bohemian FC,4594,25,,Left,,,,,2026,3,0,0,0,64,0,0,138,6,3,6.20,auto
ryan-butler,First Division,Wexford FC,62337,2025,,,,,,,,,,,,,,,,,,,auto
ryan-markey,Premier Division,Drogheda United,8339,20,,,,,,,2026,1,0,0,0,14,0,0,15,0,0,6.03,auto
ryan-okane,Premier Division,Sligo Rovers,6361,23,,Right,,,,,2026,17,14,1,1,1182,1,0,145,12,3,6.50,auto
ryan-sheridan,Premier Division,St. Patrick's Athletic,1854,17,,,,,,U17:8:3:2025,2026,4,0,0,1,46,1,0,5,0,1,6.36,auto
sam-rooney,Premier Division,St. Patrick's Athletic,1854,17,,Left,,,,,2026,6,0,0,1,51,0,0,7,1,1,6.01,auto
sam-steward,Premier Division,St. Patrick's Athletic,1854,18,,,,,,,,,,,,,,,,,,,auto
sam-todd,Premier Division,Bohemian FC,4594,28,,,,,,,2026,25,24,1,0,2155,3,0,257,11,2,7.11,auto
samuel-ogungbe,Premier Division,St. Patrick's Athletic,1854,17,,,,,,,,,,,,,,,,,,,auto
samuel-safaei,Premier Division,Dundalk,1853,21,,,,,,,,,,,,,,,4,0,0,,auto
